,Predicciones,host_response_rate,price,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1178,18.74313622353914,100.0,4575.0,98.0,19.4282,-99.19292,4.0,2.0,3.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,12,31,55,316,42.0,14.0,1.0,4.9,4.88,4.9,4.98,4.88,4.95,4.78,2.0,1.0,0.0,0.0,0.54
1383,19.614331516737245,100.0,454.0,100.0,19.40315,-99.17053,2.0,1.0,1.0,3.0,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,20,50,72,332,104.0,22.0,3.0,4.85,4.92,4.91,4.96,4.93,4.95,4.9,4.0,0.0,2.0,0.0,1.9
2046,12.209171524553312,71.0,1999.0,83.0,19.36133,-99.18829,6.0,1.0,5.0,1.0,30,1.0,1.0,1125.0,1125.0,1.0,1125.0,,2,32,62,337,23.0,3.0,0.0,4.35,4.7,4.7,4.83,4.7,4.91,4.61,14.0,1.0,10.0,0.0,0.31
2051,16.565147990543863,91.0,749.0,93.0,19.35765,-99.17713,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,20,50,80,355,28.0,3.0,0.0,4.61,4.64,4.75,4.71,4.71,4.82,4.54,9.0,2.0,6.0,0.0,0.57
2202,4.804011532369373,95.0,10439.0,66.0,19.42632,-99.17102,2.5,1.3,1.6,1.0,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0,,30,60,90,365,0.0,0.0,0.0,4.61,4.64,4.75,4.71,4.71,4.82,4.54,19.0,2.0,11.0,2.0,0.57
2664,4.804011532369373,96.7,1971.1,66.0,19.42723,-99.19667,4.0,2.0,2.0,1.0,115,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,360,11.0,0.0,0.0,4.82,4.91,4.91,5.0,5.0,5.0,4.64,2.0,0.0,1.0,0.0,0.17
3196,19.614331516737245,100.0,1500.0,100.0,19.42274,-99.15883,2.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,9,26,56,291,136.0,36.0,3.0,4.85,4.9,4.79,4.82,4.85,4.99,4.83,11.0,7.0,2.0,0.0,2.24
3426,19.614331516737245,100.0,10000.0,100.0,19.39605,-99.17686,4.0,2.0,3.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,29,59,89,89,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.02
3773,19.614331516737245,100.0,1449.0,100.0,19.42234,-99.16106,2.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,10,35,65,300,89.0,12.0,0.0,4.69,4.59,4.76,4.82,4.72,4.94,4.72,11.0,7.0,2.0,0.0,1.46
3823,19.614331516737245,100.0,1990.0,100.0,19.42565,-99.1697,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,9.0,0.0,0.0,4.0,4.11,4.89,4.44,4.56,4.89,4.22,10.0,4.0,0.0,0.0,0.15
3825,19.614331516737245,100.0,1990.0,100.0,19.42658,-99.17046,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,13.0,0.0,0.0,4.92,4.77,5.0,4.85,5.0,5.0,4.77,10.0,4.0,0.0,0.0,0.21
3834,19.614331516737245,100.0,1990.0,100.0,19.42599,-99.17044,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,12.0,1.0,0.0,4.25,4.42,4.58,4.25,4.33,4.58,4.42,10.0,4.0,0.0,0.0,0.2
3836,19.614331516737245,100.0,1990.0,100.0,19.42669,-99.16958,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,16.0,0.0,0.0,4.63,4.5,4.69,4.75,4.94,4.88,4.44,10.0,4.0,0.0,0.0,0.26
